cluster_primary,n_projects,median_cpb_usd,p10_cpb_usd,p90_cpb_usd,outlier_rate,median_log10_cpb,efficiency_score_raw,efficiency_score,rank
Health,2664,11.68907748947915,2.8123907634826604,64.38866182916951,0.0472972972972973,1.0677802376770038,100.0,98.81756756756756,1
Mine Action,136,17.30224097725529,1.8042772897202937,162.7739392141071,0.022058823529411766,1.2381023563673093,76.72321719341012,76.17174660517483,2
WASH,2326,18.359612923280203,4.943025554535794,67.03792618969099,0.030524505588993982,1.2638635207075137,73.20261146232407,72.43949882259922,3
Nutrition,1398,24.879932189186725,5.897881878824888,94.42499554394371,0.01859799713876967,1.3958491923410419,55.16501402154967,54.70006409308043,4
Protection,1676,35.714285714285715,8.018230511181352,168.66486886632828,0.017899761336515514,1.5528419686577808,33.70986313082584,33.26236909741295,5
Food Security,1074,39.910282,5.00003827631452,233.73134114306043,0.01303538175046555,1.6010847964538106,27.116839081930998,26.79095453816936,6
Shelter/NFI,1448,51.555639703153986,11.088527121514645,312.83399746664867,0.023480662983425413,1.7122761799588115,11.921057678364754,11.334041103779118,7
Education,814,63.023944362895804,18.23568927687086,209.1457320845944,0.014742014742014743,1.799505580073057,0.0,0.0,8
